Ticket_ID,Timestamp,Submitter_Name,Submitter_Email,Submitter_Phone,Department,Location,Priority,Category,Issue_Title,Issue_Description,Technical_Details,Operating_System,Affected_Software,Hardware_Type,IP_Address,Assigned_Technician,Status,Time_to_First_Response_Hours,Resolution_Time_Hours,Escalated,Recurring_Issue,User_Satisfaction_Rating,Resolution_Notes
TKT-2024-0001,2024-01-15 08:23:14,Maria Schmidt,m.schmidt@stadtverwaltung.de,+49 30 9026 1234,Bürgeramt,Rathaus Berlin-Mitte,High,Hardware,Desktop computer won't start,Computer will not power on at all. Pressed power button multiple times with no response. Monitor shows no signal. Need urgent help as citizen appointments scheduled today.,No POST beep. No fan noise. Power LED on motherboard is off. Checked power cable connection - secure. Tried different power outlet - same issue.,Windows 10 Pro,Microsoft Office 2019,Dell OptiPlex 7080,192.168.10.45,Thomas Weber,Closed,0.5,2.3,No,No,5,Replaced faulty power supply unit. System now boots normally. Verified all services running.
TKT-2024-0002,2024-01-15 09:47:22,Hans Müller,h.mueller@stadtverwaltung.de,+49 30 9026 1456,Finanzamt,Finanzamt Wedding,Medium,Software,Excel crashes when opening large files,Excel 2019 crashes immediately when trying to open files larger than 50MB. Error message: 'Excel has stopped working'. Smaller files open fine. This affects my monthly budget reports.,Crash occurs during file load. Event Viewer shows Application Error Event ID 1000. Faulting module: EXCEL.EXE. Exception code: 0xc0000005. Tried safe mode - same issue.,Windows 10 Pro,Microsoft Excel 2019,Lenovo ThinkCentre M720,192.168.10.78,Sarah Klein,In Progress,1.2,NULL,No,Yes,NULL,Attempting repair installation of Office. User has large external data connections causing memory issues.
TKT-2024-0003,2024-01-15 10:15:38,Petra Wagner,p.wagner@stadtverwaltung.de,+49 30 9026 1789,Sozialamt,Sozialamt Reinickendorf,Low,Access,Cannot access shared drive,I cannot access the S: drive where all our case files are stored. Getting error 'Network path not found'. Colleagues in same office can access it fine.,Error code: 0x80070035. Drive mapping shows disconnected red X. Can ping file server successfully (10.1.5.20). Other network resources accessible. VPN not in use - on site.,Windows 10 Pro,Windows File Explorer,HP EliteDesk 800 G5,192.168.10.112,Michael Koch,Closed,2.1,4.5,No,No,4,"Drive mapping corrupted. Removed and remapped S: drive to \\fileserver01\social_services. Access restored."
TKT-2024-0004,2024-01-15 11:02:56,Klaus Becker,k.becker@stadtverwaltung.de,+49 30 9026 1567,Ordnungsamt,Ordnungsamt Charlottenburg,Critical,Network,Complete network outage in building,Entire office has no network connectivity. Cannot access any systems. Internet down. Phone system down. Affecting 45 staff members. All work stopped.,All workstations show 'No Internet Access'. Cannot ping gateway (192.168.10.1). Switch status LEDs show amber on multiple ports. Main fiber link light is red. Possible ISP issue or switch failure.,Windows 10 Pro,Multiple,Multiple devices,192.168.10.0/24 subnet,Thomas Weber,Closed,0.3,6.8,Yes,No,3,Major switch failure. Core switch replaced. All services restored. Some packet loss during transition. ISP confirmed no issues on their end.
TKT-2024-0005,2024-01-15 13:34:12,Anna Hoffmann,a.hoffmann@stadtverwaltung.de,+49 30 9026 1890,Standesamt,Standesamt Spandau,Medium,Software,Specialized registry software freezing,The civil registry application (ZivReg Pro) freezes when searching for records older than 2010. Have to force close and restart. Search for recent records works fine.,Application becomes unresponsive. CPU usage spikes to 100%. Memory usage normal. Database connection remains active. Log shows query timeout errors after 30 seconds. Database size: 850GB.,Windows 10 Pro,ZivReg Pro v4.2,Dell Precision 3640,192.168.10.203,Sarah Klein,Open,3.5,NULL,No,Yes,NULL,Database index corruption suspected. Coordinating with database administrator for maintenance window.
TKT-2024-0006,2024-01-16 08:15:27,Stefan Richter,s.richter@stadtverwaltung.de,+49 30 9026 2134,IT-Abteilung,IT-Zentrum Tempelhof,High,Security,Suspicious email with attachment,Received suspicious email claiming to be from director asking to open attached invoice. Email address looks wrong. Subject: 'URGENT: Unpaid Invoice Immediate Action Required'. Did not open attachment.,Sender: direktor@stadtverwaltungg.de (note extra 'g'). Attachment: Rechnung_2024.pdf.exe (double extension). Email headers show originating IP: 185.220.101.47 (Romania). SPF check failed. Forwarded to security team.,Windows 10 Pro,Outlook 2019,Dell Latitude 5420 Laptop,192.168.10.67,Michael Koch,Closed,0.2,1.1,Yes,No,5,Confirmed phishing attempt. Email quarantined. Sender blacklisted. Security awareness reminder sent to all staff. No compromise detected.
TKT-2024-0007,2024-01-16 09:42:33,Monika Schulz,m.schulz@stadtverwaltung.de,+49 30 9026 2345,Gesundheitsamt,Gesundheitsamt Neukölln,Medium,Hardware,Printer printing blank pages,Office printer (Canon imageRUNNER 2525) prints blank pages. Print job completes successfully according to computer. All pages come out blank. Tried multiple documents and different computers - same issue.,Printer display shows no errors. Toner level shows 45% black, 60% color. Performed test print from printer menu - also blank. Cleaned print heads via maintenance menu. Paper feeding correctly.,Windows 10 Pro,Multiple applications,Canon imageRUNNER 2525,192.168.10.156,Thomas Weber,Closed,4.2,5.8,No,No,4,Drum unit depleted despite toner remaining. Replaced drum unit. Test prints successful. Printer returned to service.
TKT-2024-0008,2024-01-16 11:18:45,Julia Fischer,j.fischer@stadtverwaltung.de,+49 30 9026 2567,Bauamt,Bauamt Friedrichshain,Low,Software,Unable to install CAD software update,Trying to install AutoCAD 2024 update but getting error 'Insufficient privileges'. I am logged in with my regular account. Need this update to open new project files from contractors.,Error code: 1603. Installation log shows access denied to C:\Program Files\Autodesk. User account is standard user (not admin). Update requires admin rights. Installation package: AutoCAD_2024.0.1_Update.msi.,Windows 10 Pro,AutoCAD 2024,HP Z2 Tower G9 Workstation,192.168.10.189,Sarah Klein,In Progress,6.3,NULL,No,No,NULL,Scheduled remote admin session for software installation. Appointment set for tomorrow 14:00.
TKT-2024-0009,2024-01-16 14:27:51,Robert Neumann,r.neumann@stadtverwaltung.de,+49 30 9026 2789,Personalamt,Personalamt Kreuzberg,High,Access,Account locked out repeatedly,My account keeps getting locked every few hours. Have to call helpdesk to unlock. Very disruptive. Changed password yesterday but problem continues. No idea why this is happening.,Account lockout threshold: 5 failed attempts. Security logs show failed login attempts from IP 192.168.10.234 (not user's workstation). Appears to be service or saved credentials somewhere. User's actual IP: 192.168.10.145.,Windows 10 Pro,Active Directory,Dell OptiPlex 5090,192.168.10.145,Michael Koch,Closed,1.8,8.3,No,Yes,3,Found old credential stored in Windows Credential Manager from previous file share. Also mobile device with outdated password. Cleared credentials and updated mobile device. No further lockouts.
TKT-2024-0010,2024-01-17 07:55:19,Sabine Keller,s.keller@stadtverwaltung.de,+49 30 9026 3123,Schulamt,Schulamt Pankow,Medium,Email,Cannot send emails with attachments,Outlook allows me to send regular emails fine but any email with attachment fails. Error message: 'The operation failed. An object could not be found.' Attachments are normal PDFs and Word docs under 5MB.,Error occurs immediately when clicking Send. Outlook version 2019 (16.0.10396.20029). PST file size: 8.2GB. Email account type: Exchange. Tested with different file types - all fail. Can receive attachments fine.,Windows 10 Pro,Outlook 2019,Lenovo ThinkPad T14,192.168.10.221,Sarah Klein,Closed,2.7,3.9,No,No,4,PST file corruption. Ran ScanPST.exe repair tool. Minor corruption fixed. Outlook profile rebuilt. Attachment sending now functional.
