Zeitstempel,Ort der Geschwindigkeitsmessung,Erlaubte Geschwindigkeit (km/h),Gemessene Geschwindigkeit (km/h),Geschwindigkeitsüberschreitung (km/h),Kennzeichen,Fahrzeugmarke,Fahrzeugmodell,Fahrzeugtyp,Name des Fahrzeughalters,Geburtsdatum des Fahrzeughalters,Geschlecht des Fahrzeughalters,Adresse des Fahrzeughalters,Fahrer: Name,Fahrer: Geburtsdatum,Fahrer: Geschlecht,Wetterbedingungen,Sichtverhältnisse,Verkehrsdichte,Bußgeldbetrag (EUR),Punkte in Flensburg,Fahrverbot (Monate),Einspruch eingelegt,Status des Verfahrens,Zahlungsstatus
27.05.2025 02:37:28,B3 Ortsdurchfahrt Celle,30,69,39,M-U 5073,Fiat,Panda,SUV,BMW,X5,SUV,Murat Becker,08.10.1968,Männlich,"Bahnhofstraße 150, 80331 München",Regen,Schlecht,Mittel,140,1,,Nein,In Bearbeitung,Ausstehend
22.12.2025 11:41:54,"A95 km 23, Richtung Garmisch",100,129,29,D-P 7645,Opel,Grandland,Kombi,Ahmet Schmidt,03.08.1957,Männlich,"Lindenstraße 169, 50667 Köln",Unklar,Unklar,Unklar,Bewölkt,Mittel,Mittel,100,1,,Nein,In Bearbeitung,Ausstehend
28.08.2025 14:42:49,B17 Landsberg am Lech,120,192,72,MA-PQ 6083,Skoda,Kodiaq,Kleinwagen,Isabella Neumann,12.08.1982,Weiblich,"Parkstraße 107, 60311 Frankfurt",Unklar,Unklar,Unklar,Klar,Gut,Mittel,535,2,3,Nein,Abgeschlossen,Bezahlt
31.12.2025 18:53:28,B3 Ortsdurchfahrt Celle,50,67,17,K-BW 4242,Renault,Clio,Sportwagen,Burak Çelik,08.05.1970,Männlich,"Bergstraße 53, 40210 Düsseldorf",Unklar,Unklar,Unklar,Leichter Regen,Gut,Mittel,80,0,,Nein,Abgeschlossen,Bezahlt
08.03.2025 18:58:48,"A7 km 89, Richtung Hannover",130,181,51,DD-RR 1969,Hyundai,Santa Fe,SUV,Ahmet Saleh,11.10.1982,Männlich,"Kantstraße 96, 50667 Köln",Unklar,Unklar,Unklar,Schnee,Mittel,Sehr hoch,236,2,1,Ja,Einspruch läuft,Ausstehend
03.10.2025 15:05:10,"A4 km 178, Richtung Dresden",80,125,45,L-DG 1373,Toyota,Yaris,Sportwagen,Nina Çelik,07.07.1958,Weiblich,"Karl-Marx-Straße 61, 20095 Hamburg",Unklar,Unklar,Unklar,Schnee,Mittel,Mittel,192,2,1,Ja,Eingestellt,Ausstehend
27.05.2025 21:14:55,"A4 km 178, Richtung Dresden",130,200,70,D-DL 5583,Ford,Fiesta,Kleinwagen,Ayşe Khalil,11.11.1963,Weiblich,"Mühlenweg 131, 04103 Leipzig",Unklar,Unklar,Unklar,Bewölkt,Dämmerung,Mittel,393,2,2,Nein,Abgeschlossen,Bezahlt
07.05.2025 11:49:38,B27 zwischen Stuttgart und Tübingen,120,179,59,HB-AT 7324,Skoda,Kamiq,Kombi,David Rossi,05.04.1960,Männlich,"Karl-Marx-Straße 97, 80331 München",Unklar,Unklar,Unklar,Leichter Regen,Mittel,Niedrig,214,2,1,Nein,In Bearbeitung,Ausstehend
01.06.2025 01:59:13,B27 zwischen Stuttgart und Tübingen,130,164,34,HL-C 2296,BMW,X1,SUV,Anastasia Doğan,11.05.1984,Weiblich,"Parkstraße 176, 28195 Bremen",Unklar,Unklar,Unklar,Nebel,Mittel,Niedrig,129,1,,Ja,Eingestellt,Ausstehend
04.11.2025 20:01:28,B1 Ortsdurchfahrt Paderborn,30,64,34,B-QX 3635,Skoda,Octavia,Limousine,Sofia Garcia,11.11.1972,Weiblich,"Bergstraße 120, 20095 Hamburg",Unklar,Unklar,Unklar,Bewölkt,Gut,Mittel,120,1,,Ja,Einspruch läuft,Ausstehend
